month,pct,items_breach,qty_breach,all_QI,percent_qty_breach
2014-06-01,01C,1,56.0,70.0,0.8
2014-04-01,01C,1,56.0,80.0,0.7
2014-05-01,01C,1,56.0,133.0,0.42105263157894735
2014-05-01,10C,140,8324.0,20306.0,0.40992810006894514
2014-07-01,10C,143,8454.0,21548.0,0.3923333952106924
2015-07-01,10C,140,8113.0,20916.0,0.38788487282463185
2014-08-01,10C,126,7307.0,19012.0,0.38433620871028823
2014-01-01,10C,141,8398.0,22322.0,0.37622076874832006
2014-04-01,10C,128,7418.0,19802.0,0.37460862539137463
2015-09-01,10C,129,7677.0,20537.0,0.3738131177874081
2014-02-01,10C,125,7338.0,19686.0,0.37275220969216705
2014-03-01,10C,130,7676.0,20685.0,0.3710901619531061
2014-10-01,10C,139,8239.0,22589.0,0.36473504803222806
2014-01-01,01C,1,56.0,154.0,0.36363636363636365
2014-11-01,10C,122,7184.0,19922.0,0.36060636482280894
2014-12-01,10C,140,8424.0,23430.0,0.35953905249679896
2015-04-01,10C,126,7350.0,20602.0,0.3567614794680128
2015-03-01,10C,120,7294.0,20551.0,0.3549219016106272
2014-04-01,05X,201,12448.0,35121.0,0.3544318214173856
2014-09-01,10C,123,7326.0,20707.0,0.35379340319698654
2014-06-01,10C,130,7502.0,21533.0,0.3483954859982353
2015-12-01,10C,126,7161.0,20886.0,0.3428612467681701
2015-06-01,10C,124,7210.0,21044.0,0.3426154723436609
2014-05-01,05X,213,12746.0,37343.0,0.3413223361808103
2014-02-01,05X,182,11164.0,32978.0,0.33852871611377283
2014-06-01,05X,181,11024.0,32579.0,0.3383774824273305
2015-02-01,10C,113,6518.0,19277.0,0.3381231519427297
2015-11-01,05X,168,10112.0,30421.0,0.33240195917293974
2014-01-01,05X,204,12329.0,37176.0,0.33163869162900794
2016-02-01,10C,109,6287.0,18996.0,0.3309644135607496
2015-01-01,10C,117,6880.0,20802.0,0.3307374290933564
2014-10-01,05X,200,12093.0,36697.0,0.329536474371202
2014-03-01,05X,196,11794.0,35803.0,0.32941373627908277
2015-11-01,10C,111,6398.0,19429.0,0.32930155952442225
2015-01-01,03J,169,9840.0,30115.0,0.32674746803918314
2016-08-01,10C,97,5489.0,16869.0,0.32538976821388343
2015-03-01,03J,168,9903.0,30506.0,0.3246246640005245
2015-05-01,05X,169,10136.0,31250.0,0.324352
2015-08-01,10C,103,5797.0,17892.0,0.3239995528727923
2016-07-01,10C,97,5488.0,16945.0,0.3238713484803777
2015-05-01,10C,111,6356.0,19715.0,0.32239411615521174
2017-04-01,10C,100,5813.0,18067.0,0.32174683123927605
2014-12-01,03J,175,10296.0,32024.0,0.32150886834873843
2014-08-01,05X,175,10469.0,32584.0,0.32129265897372944
2016-11-01,03J,154,9111.0,28384.0,0.3209906989853439
2014-11-01,03J,158,9258.0,28848.0,0.3209234608985025
