month,pct_id,total_gaba
2020-04-01,07P,59784.32777777777
2020-03-01,07P,63836.238888888896
2019-11-01,07P,60419.31666666669
2019-07-01,07P,64346.48888888889
2018-03-01,07P,60850.28333333332
2019-03-01,07P,59419.022222222215
2020-01-01,07P,61687.48888888889
2019-08-01,07P,60809.56666666669
2018-08-01,07P,62889.39999999996
2018-12-01,07P,62600.33888888891
2019-01-01,07P,68518.76666666665
2018-11-01,07P,65335.15
2019-02-01,07P,52877.52777777778
2019-04-01,08C,39364.57222222221
2019-09-01,08C,41526.62222222223
2019-10-01,08C,45677.67777777778
2019-06-01,08C,41573.28888888889
2020-05-01,08C,45539.32222222222
2018-05-01,09A,38006.53333333332
2019-05-01,09A,38538.48333333332
2019-12-01,09A,37939.98888888888
2020-02-01,09A,35809.20555555555
2016-07-01,14Y,74757.77777777778
2018-06-01,14Y,90345.90555555552
2015-06-01,14Y,62077.566666666644
2016-03-01,14Y,68432.20555555559
2017-02-01,14Y,69205.01666666668
2016-01-01,14Y,64486.75555555555
2018-10-01,14Y,93680.0
2015-11-01,14Y,65083.70555555556
2016-10-01,14Y,72057.8
2017-04-01,14Y,70868.75555555557
2017-01-01,14Y,71487.63333333333
2015-09-01,14Y,63505.36111111112
2016-02-01,14Y,64028.46111111109
2016-05-01,14Y,69767.03333333331
2017-05-01,14Y,80190.64444444445
2016-11-01,14Y,74011.41111111107
2016-12-01,14Y,76191.95555555556
2016-04-01,14Y,68266.48333333331
2017-11-01,14Y,82546.90000000001
2016-08-01,14Y,72191.4888888889
2017-09-01,14Y,77751.0388888889
2018-02-01,14Y,82769.76111111113
2015-10-01,14Y,64936.183333333334
2015-07-01,14Y,64977.505555555545
2017-10-01,14Y,87107.62777777777
2018-04-01,14Y,86694.93333333332
2018-01-01,14Y,89301.5333333333
2017-08-01,14Y,81010.78333333337
2017-06-01,14Y,79177.14444444444
2017-03-01,14Y,78195.07777777777
2018-09-01,14Y,89629.90555555554
2015-12-01,14Y,70246.00555555553
2016-09-01,14Y,75777.42222222222
2018-07-01,14Y,93489.61111111112
2017-07-01,14Y,75490.17222222222
2017-12-01,14Y,89630.18333333338
2015-08-01,14Y,59077.477777777756
2015-05-01,14Y,57533.65000000001
2016-06-01,14Y,70187.89444444445
2016-09-01,00X,64343.083333333336
2015-07-01,01H,100779.2777777778
2015-09-01,01H,100242.6888888889
2017-12-01,02T,85284.46111111112
2016-11-01,02T,77243.06666666667
2018-09-01,02T,83694.0777777778
2016-06-01,02T,74222.47777777778
2019-04-01,02T,84782.05555555555
2015-08-01,02T,62383.75555555558
2020-05-01,02Y,118681.09444444442
2017-07-01,02Y,110660.38888888888
2019-03-01,02Y,118634.69444444447
2020-04-01,02Y,124916.2833333333
2018-04-01,03A,94314.45000000001
2017-08-01,03A,93598.24444444443
2016-07-01,03A,82293.51666666669
2015-06-01,03A,73714.70555555556
2016-12-01,03A,89899.32222222222
2017-06-01,03A,94386.83888888892
2018-05-01,03F,118128.07777777778
2019-06-01,03F,113427.13333333333
2020-01-01,03F,125846.16111111111
2018-12-01,03H,68671.2611111111
2019-05-01,03H,69254.79444444446
2019-11-01,03H,67196.21111111112
2016-02-01,05H,56282.8111111111
2018-02-01,05H,67103.95
2018-08-01,05H,77298.64444444444
2016-05-01,05L,177366.71111111113
2015-11-01,05L,167604.1277777778
2015-05-01,05L,153647.65555555554
2017-01-01,05L,190550.7666666666
2016-01-01,05L,166898.32777777774
2017-05-01,05V,54355.01111111111
2018-07-01,05V,59307.06666666667
2018-10-01,05V,61030.89444444444
2016-10-01,06L,137044.7
2019-09-01,06Q,152172.2
2018-03-01,10V,83878.39444444446
