month,bnf_name,bnf_code,total_items,total_cost
2012-07-01 00:00:00+00:00,Vyvanse_Cap 70mg,0404000U0BBAFAF,1,192.74
2012-10-01 00:00:00+00:00,Vyvanse_Cap 40mg,0404000U0BBACAC,1,114.73
2012-11-01 00:00:00+00:00,Vyvanse_Cap 40mg,0404000U0BBACAC,1,1172.46
2012-11-01 00:00:00+00:00,Vyvanse_Cap 70mg,0404000U0BBAFAF,1,203.06
2012-12-01 00:00:00+00:00,Vyvanse_Cap 70mg,0404000U0BBAFAF,1,200.2
2013-02-01 00:00:00+00:00,Vyvanse_Cap 40mg,0404000U0BBACAC,1,537.37
2013-02-01 00:00:00+00:00,Vyvanse_Cap 70mg,0404000U0BBAFAF,1,337.25
2013-03-01 00:00:00+00:00,Vyvanse_Cap 70mg,0404000U0BBAFAF,1,121.29
2013-03-01 00:00:00+00:00,Elvanse_Cap 30mg,0404000U0BCAAAB,9,563.78
2013-03-01 00:00:00+00:00,Elvanse_Cap 50mg,0404000U0BCACAD,1,63.43
2013-04-01 00:00:00+00:00,Elvanse_Cap 70mg,0404000U0BCABAF,2,159.16000000000003
2013-04-01 00:00:00+00:00,Elvanse_Cap 50mg,0404000U0BCACAD,2,135.82999999999998
2013-04-01 00:00:00+00:00,Lisdexamfetamine_Cap 70mg,0404000U0AAAFAF,3,427.9
2013-05-01 00:00:00+00:00,Elvanse_Cap 70mg,0404000U0BCABAF,10,937.54
2013-05-01 00:00:00+00:00,Lisdexamfetamine_Cap 50mg,0404000U0AAADAD,6,332.48
2013-05-01 00:00:00+00:00,Lisdexamfetamine_Cap 70mg,0404000U0AAAFAF,1,76.74
2013-05-01 00:00:00+00:00,Elvanse_Cap 30mg,0404000U0BCAAAB,25,1438.5
2013-05-01 00:00:00+00:00,Elvanse_Cap 50mg,0404000U0BCACAD,7,352.94
2013-05-01 00:00:00+00:00,Lisdexamfetamine_Cap 30mg,0404000U0AAABAB,13,967.45
